requests,errors,total_latency_ms,error_rate,avg_latency_ms,throughput,latency_spike
120,3,3600,0.025,30.0,120,false
150,2,4200,0.013333333333333334,28.0,150,false
98,1,3100,0.01020408163265306,31.632653061224488,98,true
200,5,6400,0.025,32.0,200,true
175,4,5900,0.022857142857142857,33.714285714285715,175,true
60,0,1500,0.0,25.0,60,false
80,1,2100,0.0125,26.25,80,false
140,3,4000,0.02142857142857143,28.571428571428573,140,false
110,2,3300,0.01818181818181818,30.0,110,false
95,1,2900,0.010526315789473684,30.526315789473685,95,true
